Greenhouse Gas emissions - GHG - Ktonnes CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,24810.73918,2233.686153,1047.031307,354.0792176,11716.74991,2510.402254,7779.838151,9270.151381,2024.962721,2420.243026,191936.002,9438.370451,3858.708933,1220.553035,5301.95788,2226.347107,1341.484664,6601.266997,973.4502575,19012.04785,99837.13884,64528.66476,427.6394522,291.7366719,3853.935006,6355.357169,2749.375131,12179.51489,7095.718061,2558.097872,1922.552445,34994.03695,26977.66977,569849.5095
,2004,25742.58931,2353.32051,1048.468317,297.6287251,12441.47147,2404.747512,7637.23909,10594.14151,2750.787333,2599.574788,203822.972,9647.485448,3761.144539,1219.175498,5553.723172,2250.761328,1142.11494,6992.833132,1082.475877,20073.75673,101936.1828,67037.31042,464.8455684,265.1304171,3712.703902,7019.523393,3016.410783,12115.9542,7104.983634,2831.00947,1800.788477,33905.26261,28492.73861,593119.2556
,2005,26184.15881,2480.604986,943.0559389,250.8326906,12097.87523,2569.995029,7527.212866,11445.28649,2600.500978,2671.392456,198230.6447,9135.297244,3160.206756,1215.269228,5722.778682,2261.457099,1092.055438,6694.764914,1235.055461,18639.6297,102806.4813,70000.08825,401.7832338,275.6352155,3512.997656,7075.843452,3013.851599,11417.56777,7308.656204,2793.865269,1748.801063,33904.06651,28721.40376,589139.116
,2006,24671.55165,2243.155543,862.6307968,283.6886992,12953.34435,2976.118511,7798.561177,8294.175976,2426.087826,2689.678327,203654.9325,9329.321512,3261.421111,1145.823759,5550.606041,2553.955982,1023.715541,7075.350946,1230.29128,16190.57006,102213.4219,67616.60909,337.4198147,278.2926257,3583.624686,7084.510517,2811.319676,11529.95606,6960.7821,2740.207969,1895.713043,31591.75946,28785.41061,583644.0091
,2007,23692.52435,2099.983808,815.0335918,254.5581505,13101.88998,2761.490427,8411.284813,7422.944177,2565.344316,2780.252144,197006.7927,10516.02105,3513.732386,1162.487681,5243.334606,3071.710625,1098.95658,7451.400118,1394.202758,15411.71098,103747.468,69332.60675,323.5826922,310.2459205,3250.226925,7533.122576,2742.201801,12512.6613,6891.113918,2679.875749,1862.092657,31742.72645,28363.05526,581066.6353
,2008,22391.04763,2041.527715,737.4900645,232.9397029,12400.11869,2806.943474,8001.709437,6626.020951,1915.66456,2085.129722,200478.0934,8827.356527,3453.069669,962.0231592,4731.887156,2719.399323,883.8003163,6547.919255,1211.392645,12086.77263,100970.8702,66488.27848,220.346247,229.6748367,3274.157355,6143.899221,2564.086455,11389.81939,6616.790212,2293.600104,1711.547129,29167.58596,25655.38983,557866.3515
,2009,24196.03947,2434.471742,630.0395605,227.9551702,10937.21633,2459.389238,7336.019001,6677.947117,1373.199504,2097.149297,184989.1748,7510.319511,3337.169168,788.8647436,3800.417749,1498.405405,841.9399222,5647.623531,1321.895336,9268.771089,97098.61145,61352.011,220.3305357,255.7295419,2882.548008,5429.74043,2262.986993,9169.076687,5626.504212,1728.244745,1747.101243,24532.50885,18194.45268,507873.8541
,2010,22789.71323,2160.867235,564.4771614,182.0806895,10697.57937,2167.687308,7304.873596,7421.806152,1280.461595,2135.217799,201962.328,6960.25016,3178.694597,692.8567609,3441.712743,1341.569796,771.0907168,5050.371858,1323.920913,8102.943542,94529.23589,59977.35739,247.3797668,220.395146,2904.436261,5288.108844,1969.433718,8655.684976,5489.674964,1547.994168,1632.303178,23528.47808,17662.18648,513183.1721
,2011,23828.25532,2049.879503,663.6454262,243.2581473,9966.479979,2346.318003,7490.290953,7299.295917,1374.886838,2049.092196,171991.7129,7602.239668,2378.660784,688.401212,3770.488356,1401.951503,685.4086536,5679.472473,1415.068481,7999.525421,95520.7039,63383.60924,237.9889971,246.8549921,2912.064505,5502.472289,2045.314831,9327.805309,5676.256941,1645.588089,1512.609675,22789.71442,18511.48291,490236.7978
,2012,24090.59528,2036.464891,827.7599732,203.7457662,9685.329387,2250.299521,7765.460885,6308.068439,1323.647905,2182.021303,188859.8519,7239.553965,2406.761342,738.9967563,3863.574943,1374.058941,745.9267925,6265.793936,1383.409662,7754.888453,95304.6776,63481.59717,250.5495565,310.4162357,2889.067163,5407.964417,2089.246671,9080.172448,6167.402942,1534.439774,1639.361295,23733.88933,19018.05859,508213.0532
,2013,24324.60672,1884.807717,953.5832378,183.7734313,9585.642829,2312.418589,7315.959766,6339.012287,1394.869306,2085.863138,187362.2301,6968.798683,2778.247845,728.330218,3816.105324,1084.425441,709.6349908,6143.563083,1462.152672,7460.382261,94753.73975,62333.79255,190.6432049,334.8155312,2724.292629,5357.152395,2203.95571,8899.838009,5782.598517,1566.908025,1768.386167,23583.40975,18457.61895,502851.5589
,2014,24369.82683,1947.07459,804.3815422,172.2281893,9153.360607,2458.546285,7180.050254,6092.896159,1374.100619,2233.324426,158740.1927,7580.75922,2586.561424,800.6298766,3456.396118,553.5527725,680.9329569,6165.174236,1398.302755,8324.403504,92187.32287,65792.47263,218.6975356,293.0177592,2754.776794,5560.394324,2591.349885,9473.978686,5924.715096,1317.06099,1808.524092,24133.15056,18496.02937,476624.1856
,2015,24284.39317,1886.141701,705.555941,194.3688326,8896.547873,2275.422792,7344.200424,5620.319195,1287.307044,1985.766558,154870.0133,7288.594855,2858.560283,818.5273971,3242.501057,502.9799115,610.1900328,6170.343351,1360.300024,8351.059081,91281.9387,66875.87107,316.5116065,302.9151636,2491.011353,5177.282326,2949.95862,9055.047654,5579.412339,1278.831153,2041.011965,23527.90773,17668.89503,469099.6875
,2016,22866.50786,1678.998044,668.3777336,175.4387499,7534.40418,1837.887208,7039.005889,5171.269153,1168.085106,1727.482051,144168.0792,6031.50554,2459.590492,674.4733316,2960.066047,422.2135246,538.9997062,5560.163027,1287.638722,7948.70445,91146.82392,65209.93336,292.6845073,371.5608337,1948.823757,4513.965973,2918.782681,8110.48781,4861.912367,1121.851847,1954.972182,21863.63019,15915.08648,442149.4059
,2017,22132.15105,1566.884666,594.4364588,165.5194984,6480.667736,1642.51259,6722.645352,4932.595906,1085.427966,1634.058177,131802.1548,5551.998003,2509.763762,677.3753442,2755.827136,400.5191818,461.6942026,5364.603318,1121.004546,7202.948531,89552.18989,60818.87755,291.3696491,307.4857841,2064.858168,4267.926463,2771.36349,8091.511534,4680.700254,1031.073931,1865.769645,20533.10079,15679.01078,416760.0262
,2017,20540.80228,1195.568398,692.9391686,184.7025246,6523.337641,1537.254238,6471.130347,4361.81349,1123.724565,1511.346293,133205.8429,5563.864749,2266.257529,757.865145,2892.447967,406.573997,490.5188031,6112.685661,1159.001495,7548.986856,90195.29391,65876.95501,333.5054465,307.2533956,1991.517405,4496.878264,2874.366258,8369.351321,4781.570407,1095.908417,1905.713172,20670.48192,15944.07617,423389.5351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy - NRG - Ktonnes oil equivalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Food,Non-alcoholic beverages,Alcoholic beverages,Tobacco,Clothing,Footwear,Actual rentals for households,Imputed rentals for households,Maintenance and repair of the dwelling,Water supply and miscellaneous dwelling services,"Electricity, gas and other fuels","Furniture, furnishings, carpets etc",Household textiles,Household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Goods and services for household maintenance,"Medical products, appliances and equipment",Hospital services,Purchase of vehicles,Operation of personal transport equipment,Transport services,Postal services,Telephone and telefax equipment,Telephone and telefax services,"Audio-visual, photo and info processing equipment",Other major durables for recreation and culture,Other recreational equipment etc,Recreational and cultural services,"Newspapers, books and stationery",Education,Restaurants and hotels,Miscellaneous goods and services,Total
,,FOO,DRI,ALC,TOB,CLO,SHO,ACR,IMR,DIY,WAT,ELG,FRN,TEX,APL,GLA,TOO,GOO,MED,HOS,VEH,OPP,TRS,PST,TEL,TES,AVI,MRC,ORC,RCS,NBS,EDU,R&H,MSC,Total
,1990,8839.273526,973.3202756,1049.516582,233.0104599,2538.578374,402.5641288,94.56171342,7.044662346,1646.292746,998.4375123,42337.92174,1999.797859,1253.68618,606.6654131,1060.776396,473.2930639,891.9627154,2643.392804,733.058847,3254.966411,30733.26994,20814.31883,121.1648291,36.63623204,660.360507,1697.658597,351.35252,4587.574492,1797.543945,1591.543412,504.1029483,5156.634921,8572.837987,148663.1206
,1991,8814.064723,957.5704074,1026.078498,232.9017023,2540.917626,408.5620752,96.11862893,7.10064101,1582.348438,1023.944587,46317.0867,1964.887031,1222.358623,564.7225588,964.1833766,454.5784445,875.1340793,2602.925458,741.8857506,3448.995069,30479.97714,20651.7258,127.1804024,36.27147467,694.5372143,1682.684644,351.3920324,4537.464748,1820.993067,1571.237519,533.6292968,5269.199546,8628.732788,152231.3901
,1992,8356.490347,895.5012477,949.4778331,216.3495479,2317.169115,383.8819771,90.09205543,6.53342796,1405.345088,897.9926145,45503.21132,1745.433835,1077.502175,471.3616621,817.2008904,396.3953605,795.9820564,2293.254241,696.6157774,3424.643734,30441.57083,20704.71169,128.3373376,32.08274709,677.8650273,1497.575156,328.0917459,4106.443034,1709.585154,1407.624121,545.585831,5096.750766,8109.031116,147525.6889
,1993,7530.132668,762.515538,811.4788327,181.9058441,2199.353053,357.494713,90.58280747,6.497405216,1234.727263,897.6148496,46782.18713,1629.857252,983.5924695,368.5698433,679.2163515,349.7716284,751.7470052,2077.781463,789.3710557,3272.237085,30307.89681,20863.96349,137.6660378,28.4669946,740.1240727,1354.960465,299.8803184,3782.453965,1744.559943,1310.474464,560.984361,5181.19481,8027.464082,146096.7241
,1994,7313.474517,717.1509518,728.173024,182.663831,2147.159447,355.0702958,93.49187072,6.640231816,1110.908767,997.4551757,45183.22788,1589.699884,924.4265138,280.1014675,599.5006572,332.7734405,724.0542884,1977.332325,962.1903916,3643.957992,29605.78232,20902.71745,155.4028698,27.01492786,813.0964437,1290.197938,305.0132348,3643.931468,1778.902864,1262.466687,597.8863355,5098.478263,7984.043052,143334.3868
,1995,6858.808624,667.6663183,495.5959903,144.4942232,1965.991093,340.8964887,89.84348304,6.225509659,975.6888837,962.9116586,43814.88832,1393.639873,808.9760804,193.3725256,468.7807675,290.1708277,646.9633063,1860.853876,982.3172819,3620.826628,28364.65015,20093.43271,163.9144595,22.65420094,869.8279754,1146.212212,287.2106614,3322.581302,1846.598715,1150.016751,668.9766939,4800.567791,7583.316758,136908.8721
,1996,6817.651189,723.2147281,646.4319574,32.96783077,1779.566781,369.9708291,72.25011997,4.420879845,834.9518123,953.6538559,49453.47805,1556.726551,904.0009721,238.6945455,662.6724209,393.789827,575.3838182,1336.151947,781.8418855,4430.172867,28408.85981,20993.39451,165.0378404,23.98254148,996.7757432,1127.484718,388.0384421,3152.295895,1719.589482,1010.18877,686.1678909,4494.006805,6883.121486,142616.9368
,1997,7688.90477,689.9373953,350.94549,151.0710039,2693.531666,509.3014171,1740.396141,2577.164033,743.7143925,617.7188033,46211.90266,1894.452943,1092.598184,415.5622675,922.6508704,500.7324102,511.1599805,2080.910031,417.5951017,4937.92054,28699.1029,23099.46392,289.3149921,36.92133684,983.4616785,1575.238409,502.7773036,3424.125865,1251.19653,1153.327689,630.6140676,7080.157438,8165.252092,153639.1243
,1998,7837.106684,733.6991645,362.4132433,162.6609645,2545.299725,497.5108936,1877.797193,2564.007445,824.7858169,622.7593128,47401.22277,1869.847101,1052.467142,404.3484234,1045.761153,518.9298584,565.8900959,2468.705354,457.2554086,5198.538962,28732.98568,24770.83244,154.035865,47.07152999,1032.440508,1627.548613,544.5420044,3525.13564,1423.797326,1206.026827,656.6036573,7349.555542,8879.568174,158961.1505
,1999,7732.329083,777.2200361,326.0102592,157.8901472,2538.317955,521.8933323,1838.958569,2551.490505,697.3677856,584.1629832,47398.41659,1871.568496,1026.619768,405.9464076,1074.731662,542.9209588,545.3115021,2263.504213,425.963161,5195.531397,29271.71464,25624.36556,135.2917151,52.75854761,1000.501505,1689.414443,675.2507369,3388.106241,1411.020985,1183.972137,689.2457064,7407.91504,8908.062522,159913.7746
,2000,7545.775006,780.492268,319.4893919,145.9007832,2779.954893,571.3242281,1928.197748,2552.358767,720.4246906,631.7880401,48183.73638,2113.130076,1095.116242,390.4538903,1166.554748,521.5889973,555.1372354,2187.0939,402.0138348,5236.963808,28897.70563,26480.00731,105.7868352,62.51732688,1022.667214,1715.418203,662.4701515,3544.540035,1537.207275,1088.833805,723.2501425,7672.048818,9064.022546,162403.9702
,2001,6843.523889,848.7427825,320.8973906,145.9129429,2660.639677,510.9386067,1898.334784,2640.757505,730.4212061,675.9896197,49464.65409,1984.518881,1024.085399,389.0491538,1065.383432,536.0278544,558.2536608,2464.130023,434.4817032,5373.360706,28543.85626,26557.83388,110.7385475,59.01467002,911.4361967,1606.762117,677.1425469,3413.278977,1452.284523,978.2012559,745.7416406,7711.206299,8736.490924,162074.0911
,2002,5442.244624,893.9773948,379.2309315,128.6602487,2609.592266,498.0916569,1947.269402,2496.150345,658.4431117,644.0306245,48698.83,1880.213948,977.5885423,346.1660793,1009.72024,533.0562802,462.7517893,2457.607169,405.0335351,5020.590237,29224.50089,27764.64778,74.66116907,60.54959501,895.6169972,1623.271865,663.5673195,3309.013447,1527.637159,891.7731308,710.2714724,8265.332985,8334.428494,160834.5207
,2003,6897.456306,815.0855766,271.7552048,98.79748104,2383.956824,570.139015,1945.432601,2486.616559,688.6775579,766.0945321,49302.37973,1778.490841,836.3291335,323.9796274,1029.955666,543.9007655,447.3752518,2875.36561,388.8932528,4804.053332,28914.61363,27607.68927,113.9849182,76.62650014,940.5742165,1782.76781,676.7264509,3385.808346,1575.312312,934.0304947,649.497074,8188.800398,8704.217311,162805.3836
,2004,6526.464512,823.459425,262.896197,85.59303491,2579.987172,531.9677074,1974.331628,2487.606577,994.9462202,808.4655496,50400.00449,1670.870334,748.7560211,306.1801247,794.249158,489.1762966,457.4632247,3881.806126,460.3861478,4644.262471,29018.81078,28807.93014,114.9554457,62.67296558,973.570916,1882.379048,701.1326479,3414.455319,1628.14687,1125.55946,646.1900054,8182.574907,9319.96114,166807.2121
,2005,6462.043387,796.2644099,209.7803874,66.14958512,2501.027806,486.699598,1970.020356,2551.421105,1114.582606,749.814509,48872.7909,1466.957307,598.4314108,295.8807806,471.9965901,447.5469816,524.8887391,5069.149725,562.6828949,4217.942948,28997.03934,30423.53369,95.25391742,60.20830316,911.9387137,1885.093145,640.9945487,3578.07628,1645.437273,1289.998562,629.1286512,8040.427912,9727.334304,167360.5367
,2006,6040.651853,761.4206528,225.4599073,75.65425124,1682.747695,492.706622,1990.987064,2259.466464,271.0468784,700.3572358,47447.61484,1404.917288,536.4346051,272.6761918,1322.447529,554.3840051,144.0028126,31.62187003,267.0133411,4166.809294,28490.42054,30770.9681,73.30289895,51.07064894,864.7313802,1298.77608,663.7028094,2083.890056,1433.660444,647.8513177,609.3956587,7614.110258,7897.072219,153147.3728
,2007,6248.75945,675.9597404,176.356729,69.13895766,1922.53955,530.1909119,2095.999851,2144.465894,807.514752,704.5655373,45971.30238,1585.221399,625.2539316,235.9144,831.7971288,551.1454198,368.6818446,3330.734306,513.0809219,3370.025716,28557.22136,31341.16284,74.07240829,54.85798612,745.2341667,1513.623106,553.6316096,3134.910662,1444.884857,969.5584315,625.8895067,7267.640083,8725.688599,157767.0244
,2008,5769.328792,696.0569876,179.7003558,64.51399438,1593.786362,476.5832569,2107.166291,2173.249113,365.0983296,511.4480449,47079.17668,1239.610372,569.659906,199.3348532,964.3644858,518.1388636,202.6205161,1312.560041,333.7450291,2806.109922,27956.92911,29704.99008,51.77988969,38.99557667,756.6808525,1130.223212,545.1383689,2311.941926,1420.653871,639.9939479,600.5045149,6841.180943,7462.945493,148624.21
,2009,6300.844531,841.5797825,174.1622024,59.36925942,1514.301376,491.3852445,2096.271088,2446.429479,257.1706667,507.5820265,45631.63251,1109.495579,610.5777915,176.4757736,841.196438,316.8376776,201.6379848,1082.491805,362.5818791,2414.555862,26907.85662,27869.2798,54.13164382,46.65916678,708.0393092,1055.197897,528.9759019,1933.165853,1277.668959,503.5840378,621.310733,6162.81639,5519.453764,140624.719
,2010,6219.776117,766.5709383,165.4546883,60.43609672,1505.211757,471.3912678,2150.649447,2703.813969,296.4096938,567.4659943,50579.91886,1055.733787,585.9327293,156.7330784,809.4584138,297.9976855,213.3519049,1317.215321,406.4084234,2218.90821,26327.50253,27773.18301,64.14286554,41.64261747,774.6777527,1067.78899,486.0745684,1991.584933,1279.935967,497.3806612,598.9499451,5958.294664,5583.102181,144993.0991
,2011,6876.446298,760.6393544,221.1520009,93.75843041,1566.411085,515.4580399,2096.277781,2457.633437,289.5104206,514.5333208,41954.6376,1066.429398,468.9171705,136.7369133,813.6208378,284.6394317,178.7975717,1305.709538,389.4082011,2005.040079,26244.98732,28428.58588,62.3061032,43.30754422,722.0770398,1030.572264,451.7834368,1977.252501,1320.055191,492.956469,543.918008,5745.73237,5469.115966,136528.407
,2012,6752.670208,710.6467343,257.2472591,73.73052841,1369.601806,511.0546357,2163.122545,2448.925075,284.0314571,517.1911429,45478.75889,1040.443666,425.2212223,156.3506402,875.5999207,282.0704792,198.6953903,1545.049696,388.1461776,2019.717152,26121.75344,27792.01561,63.29392407,56.48272233,723.307578,1060.267389,481.4746179,2037.11446,1464.645907,457.4399021,597.3808273,5825.667313,5700.845304,139879.9636
,2013,6746.081917,672.8668014,300.4633922,66.94666499,1388.540942,538.9666168,2168.173829,2499.340217,318.1745135,504.7647445,46019.28659,996.8074607,475.7824191,154.2156638,889.525913,221.3493894,192.6133036,1506.555975,418.1649452,1930.315926,25521.41719,27596.59908,47.80215165,61.47451488,698.8332783,1062.364252,519.471645,2036.019596,1451.375817,478.5286105,655.2280933,5902.184447,5619.166763,139659.4027
,2014,6626.801975,662.1787064,235.730951,59.56203925,1400.616468,575.2139968,2135.422562,2250.245299,300.3835418,541.5843375,39713.53974,1021.268662,471.6907123,161.7616566,754.9091541,95.53786045,179.594894,1456.80392,402.6278421,1990.360212,25151.22296,28207.04448,52.9671524,52.5204076,660.8243335,1067.408821,572.0175566,2117.272878,1468.766154,401.8348617,678.1513061,5883.949544,5584.483454,132934.2984
,2015,6782.011853,746.7664908,233.8359803,59.66883535,1208.225432,653.0172388,2433.805966,2448.961115,298.0541455,559.7460694,41413.52429,1120.427333,570.7790033,184.7651629,826.5576598,96.34912331,177.9711656,1506.721344,417.3661752,2216.793718,25131.44094,28700.68141,79.05371441,58.98040171,681.8787786,1083.892974,716.7992978,2132.999532,1559.650731,419.4469735,760.9153866,6251.571947,5836.360212,137369.0204
,2016,2181.437117,-2539.178373,-486.1016091,40.42041435,1429.814148,821.6051786,2510.209494,2564.462415,396.9005385,509.8410785,42300.75862,1235.208416,689.548358,183.1360801,2058.32485,103.91395,236.9632035,2449.194407,526.5491283,2543.518692,25767.57482,29449.06136,79.82829389,92.30580282,639.5637425,1216.833392,851.1769444,3387.946038,1638.553864,527.760853,837.344869,5178.109832,6477.972377,135900.5583
,2017,6385.342454,580.1413983,181.9038968,59.72186909,1076.291574,504.6248819,2375.878077,2526.5415,254.9775215,495.7004446,40656.4191,897.811496,512.1026804,168.4560225,669.6194922,83.6567945,151.6317784,1422.074336,396.4841704,1950.609205,25393.11488,28552.2786,78.72453491,66.16398154,659.0890522,991.7317856,690.8296001,2052.537216,1463.615395,373.7706313,753.3867434,6023.283187,5806.693951,134255.2082
,2018,5834.788795,453.8126726,211.1851629,64.41490638,1076.291574,482.0494154,2328.712582,2362.405771,279.5186872,491.6827699,42439.88571,940.7601397,463.1596071,191.4943206,726.4419058,89.27224161,163.1078415,1620.388535,409.8420545,2050.962272,25187.76086,29283.34731,83.4682489,68.39520887,631.6848982,1086.812501,731.9243064,2153.713189,1482.857871,400.9301486,777.3692156,6107.160025,5994.459454,136670.0602
