Year,A,B,C,D,E,F,G
2009,334,90206,38990,12313,2379,384,97
2010,1209,85676,29724,6838,1512,420,132
2011,1462,81947,56168,4580,835,181,34
2012,911,83718,55100,3235,712,190,32
2013,1020,93916,40410,3158,804,203,53
2014,1765,117344,34821,3820,971,336,76
2015,2666,156278,33872,5843,2144,803,261
2016,2614,166201,37407,9121,2499,368,65
2017,2675,184179,28268,8926,1856,321,61
2018,2868,204113,30243,11585,3196,451,31
2019,3631,216378,29547,10442,3562,563,179
2020,3457,181489,25198,9584,2460,674,104