period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1960,6.44152,6.25299,7.54922,5.99219,6.01338,5.25994,5.48588,5.56587,7.00555,6.16257,7.21124,8.38728,6.23711,6.18369
1961,6.52957,7.24450,8.40640,6.03721,4.66712,4.81608,5.56836,5.53960,7.28052,6.07005,6.55201,7.93689,5.03456,5.57749
1962,6.80658,7.66059,8.95456,5.90725,4.78758,4.60604,5.19034,5.13828,7.35745,5.86203,6.33176,7.58996,5.11845,5.17350
1963,6.37537,6.38867,7.78893,6.08361,4.65259,4.56930,4.72356,5.13139,6.42355,5.63210,6.15680,6.90784,4.54233,5.07439
1964,6.07123,7.26178,7.77667,5.69472,4.50073,4.74611,5.37129,4.97283,6.84688,5.79798,6.15096,7.34050,4.66998,4.78090
1965,6.37904,7.25602,8.61305,6.06723,5.50022,4.97020,5.19878,5.87527,7.39593,5.71086,6.76397,8.37757,5.48396,5.91174
1966,6.62414,7.50117,8.08175,6.35422,5.35443,4.89426,5.65737,5.69886,7.29264,6.14712,6.62355,7.69447,5.51660,5.85830
1967,6.42704,7.59728,7.77621,5.83543,5.03995,4.79421,5.45285,6.15181,7.25885,6.20760,6.81845,8.23248,5.26203,6.04726
1968,6.84272,6.90132,8.48504,6.37575,5.95080,5.28522,6.23764,6.19965,8.09850,6.58215,7.01373,8.41373,5.95598,6.30363
1969,6.08482,6.79031,6.95807,5.74232,5.57795,5.21789,5.32489,5.87485,6.65654,5.99679,6.81590,7.62356,5.92694,5.92094
1970,6.32969,7.46523,8.12565,5.68882,4.95082,4.77012,4.91820,4.98377,6.72270,5.47522,6.24937,7.55972,5.09284,5.18539
1971,6.24896,6.95923,7.26832,5.86182,5.67224,5.48622,6.43292,5.71765,7.06033,6.79953,7.25279,8.17543,6.34984,6.15614
1972,5.91991,6.55338,7.79241,5.91369,4.78014,4.34253,4.46096,4.88584,6.92427,5.28192,6.79095,8.29759,5.30255,5.13390
1973,5.74138,7.53608,7.28898,5.55568,5.90508,5.15263,5.88510,5.25913,6.41168,5.76339,6.26213,7.35167,5.56263,5.90745
1974,6.38991,7.26696,7.77524,5.66765,5.08408,5.15997,5.89544,5.16559,6.91749,6.68833,6.97983,8.20081,5.00339,5.47553
1975,6.31951,7.24997,7.91863,5.25408,4.67236,4.91990,5.73466,5.26028,6.75030,6.02844,6.16890,7.29842,4.54944,5.09864
1976,6.97572,7.18049,7.93102,6.28165,4.97719,5.30899,5.71963,5.93591,6.79000,6.51906,7.28086,7.62229,5.73483,5.83309
1977,6.90250,7.55757,8.59305,5.75314,5.11262,4.54151,5.25144,5.56081,6.88881,5.57309,6.31552,7.85312,5.17283,5.50460
1978,7.03522,7.19069,7.90844,5.94373,5.30834,5.08924,5.61256,6.00029,6.76624,5.65077,6.36924,7.27443,5.03371,5.71034
1979,6.46317,7.37922,8.03992,5.65220,5.49030,4.98735,5.50004,5.77011,6.81278,6.03814,6.67096,8.03554,5.43021,6.18646
1980,6.50748,7.64388,8.65465,5.86143,5.76833,5.13871,5.72624,5.54279,7.50967,6.33268,6.71174,7.93588,5.63496,5.97248
1981,6.75849,7.93512,8.50530,6.22712,5.44597,4.97746,5.53925,6.01282,7.54766,6.08620,7.15213,8.46819,5.76414,6.15342
1982,7.66729,8.28027,9.20028,6.04968,5.57856,5.43198,5.62277,5.72795,7.26011,5.98715,6.78045,8.55269,5.63431,6.01720
1983,6.41893,8.08213,8.09793,5.55344,5.17120,4.59758,4.70724,5.68044,7.17958,5.41661,6.33582,8.14359,5.19574,5.97350
1984,7.91158,7.82884,8.62052,6.29813,5.37579,5.21986,5.27573,5.87610,7.21604,6.02964,7.01090,8.36444,5.67680,6.00727
1985,6.88984,7.32478,8.72854,5.94807,4.92872,4.66162,5.00784,5.29364,6.98769,5.73309,6.65273,7.97054,5.46488,5.25138
1986,6.76559,7.89717,9.10041,6.17859,5.49180,4.88004,5.15851,5.71979,7.32977,5.91973,7.02821,8.52839,5.48454,6.11623
1987,6.63285,7.17727,8.81588,5.99296,5.53184,5.62352,5.82707,6.23000,7.54438,6.29790,6.54379,8.12010,5.53986,5.83360
1988,6.96951,7.52611,8.50413,6.42790,4.90330,5.01093,5.15312,5.71814,7.30214,5.74414,6.71974,8.10695,5.37246,5.62948
1989,6.27700,8.48759,8.42051,5.57106,5.69121,5.21982,5.55210,4.83151,6.99191,6.06063,7.48120,8.77857,6.04579,5.53593
1990,7.13729,9.61689,9.18998,6.40610,4.72640,4.65567,4.99089,5.46043,6.89377,6.04790,6.61566,8.04257,5.31630,5.41821
1991,7.07173,7.93435,9.33861,6.15819,4.92517,4.76615,5.55873,5.54516,7.32239,5.94463,6.74779,8.25582,5.38768,5.30848
1992,6.90261,8.45674,8.77402,6.01157,6.14030,6.17079,5.96801,5.80488,6.80649,6.34739,6.47574,7.93739,5.99729,6.08179
1993,7.61959,7.44740,8.67304,6.35062,6.19621,6.00655,6.12270,6.23036,7.00398,6.71491,7.43750,8.13596,5.84872,6.14380
1994,6.67790,7.92025,8.46198,5.70996,5.48146,5.03939,5.17173,5.44604,7.08600,6.13139,6.89680,8.22310,5.36438,5.80644
1995,6.91611,7.98497,8.23869,6.13508,4.94554,4.90662,5.18181,5.52067,6.58141,6.37397,7.42600,7.87979,5.38947,5.29958
1996,6.44972,7.02817,8.40421,6.33689,4.82573,4.79360,4.98278,4.96650,6.48831,5.68358,6.49504,7.76277,4.97269,5.27071
1997,7.05580,8.09510,8.13148,6.27013,5.24976,4.89117,5.21515,5.64024,6.90625,6.19026,7.06183,8.21903,5.54747,5.70230
1998,7.20110,8.22612,9.03024,6.07911,5.47791,5.17238,5.43095,6.01336,7.28533,6.14523,7.07559,8.73336,5.59954,5.79300
1999,7.01043,8.72546,8.93287,6.25062,5.22351,5.11999,5.10766,5.88896,7.11068,5.91700,7.34789,8.55510,5.70840,5.86811
2000,7.44651,8.00043,8.98937,6.03164,5.84128,5.50274,6.20437,6.52366,7.71029,7.19008,7.52045,8.83904,6.05856,6.68700
2001,6.14105,7.14639,7.39090,5.10744,5.39033,5.39013,5.67337,5.68868,6.43617,6.37708,6.53579,7.77097,5.52326,5.63623
2002,7.53063,7.58326,8.76839,7.04918,5.80034,5.27899,6.07134,6.08067,7.64531,6.53848,7.50824,8.73496,5.68626,6.52512
2003,5.74507,7.20383,7.54717,5.46897,5.20992,5.01189,4.98762,5.10171,6.93302,6.14280,6.38866,7.38685,5.19485,5.51654
2004,6.70051,8.02142,8.54325,5.85972,5.53260,4.98873,5.01344,5.82441,7.27451,5.70951,6.62790,8.36727,5.30707,5.73528
2005,6.86828,8.57737,8.51300,5.98202,4.98947,4.58751,4.40737,6.16119,6.79049,5.23162,6.64366,7.89004,5.60772,5.20425
2006,7.15981,8.49208,9.40570,6.20301,5.13353,5.00764,5.06134,5.27691,7.66891,6.10671,6.81270,8.35738,5.18749,5.92019
2007,7.32036,8.06782,8.25999,5.96219,6.10047,5.70102,5.59146,5.85331,7.49909,6.60605,7.66340,8.59081,6.72338,6.76041
2008,7.17156,8.20673,8.84639,6.38401,5.57618,5.32842,5.28170,6.34159,7.68940,6.30128,7.14641,8.55968,5.96999,6.40154
2009,7.17383,7.79698,8.99052,6.22663,5.07608,4.98952,5.82413,5.78022,6.97808,6.06912,7.06636,8.08901,5.27314,5.51301
2010,6.75016,6.61221,7.96255,6.48299,4.76169,4.71301,4.95255,5.51273,6.61833,5.82698,6.22640,7.18945,4.68356,5.07796
2011,7.27127,8.56723,9.41308,6.21272,4.39658,4.73034,5.03506,5.18662,7.06183,5.62979,5.80393,7.01648,4.31300,5.06931
2012,7.23105,7.51070,8.85679,6.00536,6.21761,5.53137,5.87773,7.22690,8.23251,6.76165,7.86855,8.53304,6.29270,7.07856
2013,6.70540,7.81752,8.74354,6.36607,5.30451,4.80687,5.27984,5.81314,7.03056,6.15482,6.94778,8.05868,5.77063,5.31385
2014,7.19099,8.38266,8.88533,6.41202,5.48909,5.43030,5.67193,5.33051,6.82889,6.56843,7.03384,7.96247,5.62849,5.73772
2015,7.31192,8.49600,9.88939,6.70507,4.68117,4.52527,4.89027,5.99420,7.95547,5.61357,6.32160,8.00773,4.76837,6.08120
2016,6.77364,7.59382,8.43151,5.70143,5.18396,4.91373,5.54135,5.40751,7.24964,5.94705,6.50413,7.66406,5.53595,5.60452
2017,6.01279,7.19823,7.96871,5.77236,5.04621,5.32517,5.50513,5.46244,7.10321,5.95597,6.28515,7.21407,4.70328,5.46836
2018,6.30442,7.23623,8.27155,5.99513,5.15604,4.96410,5.58532,5.62765,6.68377,6.08578,7.01272,7.97309,5.37304,5.72956
2019,6.98666,7.78295,8.59135,6.42698,6.26700,4.89538,5.40990,6.64155,7.97375,6.13045,7.16802,8.56015,6.41530,6.36161
2020,7.52995,8.43968,9.32377,6.54516,5.59780,5.62288,5.76516,5.83016,8.19175,6.64263,7.11516,9.00852,5.79272,6.23629