Label	Notation	Parent Notation	Sort Priority
E07000223	e07000223		1
E07000026	e07000026		2
E07000032	e07000032		3
E07000224	e07000224		4
E07000170	e07000170		5
E07000105	e07000105		6
E07000200	e07000200		7
E08000016	e08000016		8
E07000027	e07000027		9
E07000066	e07000066		10
E07000084	e07000084		11
E07000171	e07000171		12
E06000022	e06000022		13
E06000055	e06000055		14
E08000025	e08000025		15
E07000129	e07000129		16
E06000008	e06000008		17
E06000009	e06000009		18
E07000033	e07000033		19
E08000001	e08000001		20
E07000213	e07000213		21
E07000136	e07000136		22
E06000036	e06000036		23
E08000032	e08000032		24
E07000067	e07000067		25
E07000143	e07000143		26
E07000068	e07000068		27
E06000043	e06000043		28
E06000023	e06000023		29
E07000144	e07000144		30
E07000234	e07000234		31
E07000095	e07000095		32
E07000172	e07000172		33
E07000117	e07000117		34
E08000002	e08000002		35
E08000033	e08000033		36
E07000008	e07000008		37
E07000192	e07000192		38
E07000106	e07000106		39
E07000028	e07000028		40
E07000069	e07000069		41
E07000130	e07000130		42
E07000070	e07000070		43
E07000078	e07000078		44
E07000177	e07000177		45
E07000034	e07000034		46
E07000225	e07000225		47
E07000118	e07000118		48
E06000014	e06000014		49
E07000071	e07000071		50
E07000029	e07000029		51
E07000150	e07000150		52
E07000079	e07000079		53
E08000026	e08000026		54
E07000163	e07000163		55
E07000226	e07000226		56
E07000096	e07000096		57
E06000005	e06000005		58
E07000107	e07000107		59
E07000151	e07000151		60
E06000015	e06000015		61
E07000035	e07000035		62
E08000017	e08000017		63
E07000108	e07000108		64
E08000027	e08000027		65
E07000009	e07000009		66
E07000040	e07000040		67
E07000085	e07000085		68
E07000242	e07000242		69
E07000137	e07000137		70
E07000152	e07000152		71
E06000011	e06000011		72
E07000193	e07000193		73
E07000061	e07000061		74
E07000086	e07000086		75
E07000030	e07000030		76
E07000207	e07000207		77
E07000072	e07000072		78
E07000208	e07000208		79
E07000036	e07000036		80
E07000041	e07000041		81
E07000087	e07000087		82
E07000010	e07000010		83
E07000080	e07000080		84
E07000119	e07000119		85
E08000037	e08000037		86
E07000173	e07000173		87
E07000081	e07000081		88
E07000088	e07000088		89
E07000109	e07000109		90
E07000145	e07000145		91
E07000209	e07000209		92
E06000006	e06000006		93
E07000164	e07000164		94
E07000131	e07000131		95
E07000073	e07000073		96
E07000165	e07000165		97
E07000089	e07000089		98
E06000001	e06000001		99
E07000062	e07000062		100
E07000090	e07000090		101
E06000019	e06000019		102
E07000098	e07000098		103
E07000037	e07000037		104
E07000132	e07000132		105
E07000227	e07000227		106
E07000011	e07000011		107
E07000120	e07000120		108
E07000202	e07000202		109
E06000046	e06000046		110
E07000153	e07000153		111
E07000146	e07000146		112
E06000010	e06000010		113
E08000034	e08000034		114
E08000011	e08000011		115
E07000121	e07000121		116
E08000035	e08000035		117
E06000016	e06000016		118
E07000063	e07000063		119
E07000194	e07000194		120
E07000138	e07000138		121
E08000012	e08000012		122
E06000032	e06000032		123
E07000110	e07000110		124
E07000074	e07000074		125
E07000235	e07000235		126
E08000003	e08000003		127
E07000174	e07000174		128
E06000035	e06000035		129
E07000133	e07000133		130
E07000187	e07000187		131
E07000042	e07000042		132
E07000203	e07000203		133
E07000228	e07000228		134
E06000002	e06000002		135
E06000042	e06000042		136
E07000210	e07000210		137
E07000091	e07000091		138
E07000175	e07000175		139
E08000021	e08000021		140
E07000195	e07000195		141
E07000043	e07000043		142
E07000038	e07000038		143
E06000012	e06000012		144
E07000099	e07000099		145
E07000139	e07000139		146
E06000013	e06000013		147
E07000147	e07000147		148
E06000024	e06000024		149
E08000022	e08000022		150
E07000218	e07000218		151
E07000134	e07000134		152
E07000154	e07000154		153
E07000148	e07000148		154
E06000018	e06000018		155
E07000219	e07000219		156
E07000135	e07000135		157
E08000004	e08000004		158
E07000178	e07000178		159
E07000122	e07000122		160
E06000031	e06000031		161
E06000026	e06000026		162
E06000044	e06000044		163
E07000123	e07000123		164
E06000038	e06000038		165
E06000003	e06000003		166
E07000236	e07000236		167
E07000211	e07000211		168
E07000124	e07000124		169
E07000166	e07000166		170
E08000005	e08000005		171
E07000075	e07000075		172
E07000125	e07000125		173
E07000064	e07000064		174
E08000018	e08000018		175
E07000220	e07000220		176
E07000212	e07000212		177
E07000176	e07000176		178
E07000092	e07000092		179
E06000017	e06000017		180
E07000167	e07000167		181
E08000006	e08000006		182
E08000028	e08000028		183
E07000168	e07000168		184
E07000188	e07000188		185
E08000014	e08000014		186
E07000169	e07000169		187
E07000111	e07000111		188
E08000019	e08000019		189
E07000112	e07000112		190
E06000039	e06000039		191
E08000029	e08000029		192
E07000012	e07000012		193
E07000039	e07000039		194
E06000025	e06000025		195
E07000044	e07000044		196
E07000140	e07000140		197
E07000141	e07000141		198
E07000031	e07000031		199
E07000149	e07000149		200
E07000155	e07000155		201
E07000179	e07000179		202
E07000126	e07000126		203
E07000189	e07000189		204
E07000196	e07000196		205
E08000023	e08000023		206
E06000045	e06000045		207
E06000033	e06000033		208
E07000240	e07000240		209
E08000013	e08000013		210
E07000197	e07000197		211
E07000198	e07000198		212
E07000243	e07000243		213
E08000007	e08000007		214
E06000004	e06000004		215
E06000021	e06000021		216
E07000221	e07000221		217
E07000082	e07000082		218
E08000024	e08000024		219
E07000214	e07000214		220
E07000113	e07000113		221
E06000030	e06000030		222
E08000008	e08000008		223
E07000199	e07000199		224
E07000215	e07000215		225
E07000045	e07000045		226
E06000020	e06000020		227
E07000076	e07000076		228
E07000093	e07000093		229
E07000083	e07000083		230
E07000114	e07000114		231
E07000102	e07000102		232
E06000034	e06000034		233
E07000115	e07000115		234
E06000027	e06000027		235
E07000046	e07000046		236
E08000009	e08000009		237
E07000116	e07000116		238
E07000077	e07000077		239
E07000180	e07000180		240
E08000036	e08000036		241
E08000030	e08000030		242
E06000007	e06000007		243
E07000222	e07000222		244
E07000103	e07000103		245
E07000216	e07000216		246
E07000065	e07000065		247
E07000156	e07000156		248
E07000241	e07000241		249
E06000037	e06000037		250
E07000047	e07000047		251
E07000127	e07000127		252
E07000142	e07000142		253
E07000181	e07000181		254
E08000010	e08000010		255
E07000094	e07000094		256
E06000040	e06000040		257
E08000015	e08000015		258
E07000217	e07000217		259
E06000041	e06000041		260
E08000031	e08000031		261
E07000237	e07000237		262
E07000229	e07000229		263
E07000238	e07000238		264
E07000128	e07000128		265
E07000239	e07000239		266
E09000002	e09000002		267
E09000003	e09000003		268
E09000004	e09000004		269
E09000005	e09000005		270
E09000006	e09000006		271
E09000007	e09000007		272
E09000001	e09000001		273
E09000008	e09000008		274
E09000009	e09000009		275
E09000010	e09000010		276
E09000011	e09000011		277
E09000012	e09000012		278
E09000013	e09000013		279
E09000014	e09000014		280
E09000015	e09000015		281
E09000016	e09000016		282
E09000017	e09000017		283
E09000018	e09000018		284
E09000019	e09000019		285
E09000020	e09000020		286
E09000021	e09000021		287
E09000022	e09000022		288
E09000023	e09000023		289
E09000024	e09000024		290
E09000025	e09000025		291
E09000026	e09000026		292
E09000027	e09000027		293
E09000028	e09000028		294
E09000029	e09000029		295
E09000030	e09000030		296
E09000031	e09000031		297
E09000032	e09000032		298
E09000033	e09000033		299
S12000033	s12000033		300
S12000034	s12000034		301
S12000041	s12000041		302
S12000035	s12000035		303
S12000005	s12000005		304
S12000006	s12000006		305
S12000042	s12000042		306
S12000008	s12000008		307
S12000045	s12000045		308
S12000010	s12000010		309
S12000011	s12000011		310
S12000036	s12000036		311
S12000014	s12000014		312
S12000047	s12000047		313
S12000049	s12000049		314
S12000017	s12000017		315
S12000018	s12000018		316
S12000019	s12000019		317
S12000020	s12000020		318
S12000021	s12000021		319
S12000050	s12000050		320
S12000023	s12000023		321
S12000048	s12000048		322
S12000038	s12000038		323
S12000026	s12000026		324
S12000027	s12000027		325
S12000028	s12000028		326
S12000029	s12000029		327
S12000030	s12000030		328
S12000039	s12000039		329
S12000013	s12000013		330
S12000040	s12000040		331
W06000019	w06000019		332
W06000013	w06000013		333
W06000018	w06000018		334
W06000015	w06000015		335
W06000010	w06000010		336
W06000008	w06000008		337
W06000003	w06000003		338
W06000004	w06000004		339
W06000005	w06000005		340
W06000002	w06000002		341
W06000001	w06000001		342
W06000024	w06000024		343
W06000021	w06000021		344
W06000012	w06000012		345
W06000022	w06000022		346
W06000009	w06000009		347
W06000023	w06000023		348
W06000016	w06000016		349
W06000011	w06000011		350
W06000020	w06000020		351
W06000014	w06000014		352
W06000006	w06000006		353
E06000053	e06000053		354
E06000047	e06000047		355
E06000057	e06000057		356
E06000051	e06000051		357
E06000054	e06000054		358
E06000056	e06000056		359
E06000049	e06000049		360
E06000050	e06000050		361
E06000052	e06000052		362
N09000001	n09000001		363
N09000002	n09000002		364
N09000003	n09000003		365
N09000004	n09000004		366
N09000005	n09000005		367
N09000006	n09000006		368
N09000007	n09000007		369
N09000008	n09000008		370
N09000009	n09000009		371
N09000010	n09000010		372
N09000011	n09000011		373
E06000058	e06000058		374
E06000059	e06000059		375
E07000244	e07000244		376
E07000245	e07000245		377
E07000246	e07000246		378
E06000060	e06000060		379