Namespace,Path,Label,Comment,Source,Parent,Range
climate-change,rainfall,Rainfall,Total rainfall fallen,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,gas-emissions,Gas Emissions,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,population,Population,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,area,Area,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,la-co2,LA CO2,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,territorial-emissions,Territorial Emissions,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,emissions-within-the-scope-of-influence-of-las,Emissions Within the Scope of Influence of LAs,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,temperature,Temperature,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,frost,Frost,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,surface-ground-water-bodies,Surface and Ground Water Bodies,"surface waters (rivers, lakes, reservoirs and estuaries) and groundwater (including wetlands fed by groundwater) where sustainable abstraction criteria are met.",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,distribution-of-pollinators,Distribution of Pollinators,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,road-passenger-consumption-ktoe,Road Passenger Consumption ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,output-billion-passenger-kilometres,Output billion passenger kilometres,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,energy-consumption-per-unit-of-output-ktoe,Energy consumption per unit of output ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,total-final-domestic-consumption-ktoe,Total Final Domestic Consumption ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,no-households-000s,No Households 000s,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,consumption-per-household-ktoe,Consumption per household ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,industrial-consumption-ktoe,Industrial Consumption ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,industrial-output,Industrial Output,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,consumption-per-unit-of-output-ktoe,Consumption per unit of output ktoe,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,services-consumption-excluding-agriculture-ktoe,"Services Consumption, excluding agriculture ktoe",,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,services-output,Services Output,,,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-summer-days,"Monthly Summer Days ","Monthly summer days, averaged across regions ",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,annual-growing-season,Annual Growing Season,"Annual growing season length, averaged across regions",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-maximum-temperature,"Monthly Maximum Temperature ","Monthly average of daily maximum air temperature, averaged across regions ",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-mean-temperature,Monthly Mean Temperature,"Monthly average of daily mean air temperature, averaged across regions",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-minimum-temperature,Monthy Minimum Temperature,"Monthly average of daily minimum air temperature, averaged across regions",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-air-frost,Monthly Air Frost,"Monthly days of air frost, averaged across regions ",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-icing-days,Monthly Icing Days,"Monthly icing days, averaged across regions",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal
climate-change,monthly-tropical-nights,Monthly Tropical Nights,"Monthly tropical nights, averaged across regions",,http://purl.org/linked-data/sdmx/2009/measure#obsValue,xsd:decimal